index	name	color
1	FP_Left	#00ee00
2	F1_Left	#ffdab9
3	F2_Left	#00ced1
4	F3t_Left	#7fffd4
5	F3o_Left	#b22222
6	FOCt_Left	#ff6eb4
7	FO_Left	#dda0dd
8	CO_Left	#87ceeb
9	PO_Left	#d2b48c
10	PP_Left	#ffd700
11	H1_Left	#000080
12	PT_Left	#2e8b57
13	INS_Left	#a0522d
14	PRG_Left	#ee0000
15	POG_Left	#00ff7f
16	SGa_Left	#ffa500
17	SGp_Left	#fd4500
18	SPL_Left	#f5deb3
19	AG_Left	#cd5b45
20	OLs_Left	#ffc0cb
21	OLi_Left	#98fb98
22	OP_Left	#00ff00
23	TP_Left	#228b22
24	T1a_Left	#d02090
25	T1p_Left	#adff2f
26	T2a_Left	#f0e68c
27	T2p_Left	#add8e6
28	TO2_Left	#eeee00
29	T3a_Left	#32cd32
30	T3p_Left	#ff00ff
31	TO3_Left	#b03060
32	FMC_Left	#a020f0
33	PAC_Left	#da70d6
34	SC_Left	#eec900
35	CGa_Left	#ffb6c1
36	CGp_Left	#0000ff
37	SMC_Left	#ee82ee
38	PCN_Left	#27408b
39	CN_Left	#fa8072
40	CALC_Left	#6495ed
41	SCLC_Left	#66cdaa
42	PHa_Left	#ff6347
43	PHp_Left	#ffff00
44	LG_Left	#006400
45	TFa_Left	#cd5c5c
46	TFp_Left	#a52a2a
47	TOF_Left	#9932cc
48	OF_Left	#00ffff
49	BFsbcmp_Left	#dadaff
