index	name	color
1	FP_Right	#00ee00
2	F1_Right	#ffdab9
3	F2_Right	#00ced1
4	F3t_Right	#7fffd4
5	F3o_Right	#b22222
6	FOCt_Right	#ff6eb4
7	FO_Right	#dda0dd
8	CO_Right	#87ceeb
9	PO_Right	#d2b48c
10	PP_Right	#ffd700
11	H1_Right	#000080
12	PT_Right	#2e8b57
13	INS_Right	#a0522d
14	PRG_Right	#ee0000
15	POG_Right	#00ff7f
16	SGa_Right	#ffa500
17	SGp_Right	#fd4500
18	SPL_Right	#f5deb3
19	AG_Right	#cd5b45
20	OLs_Right	#ffc0cb
21	OLi_Right	#98fb98
22	OP_Right	#00ff00
23	TP_Right	#228b22
24	T1a_Right	#d02090
25	T1p_Right	#adff2f
26	T2a_Right	#f0e68c
27	T2p_Right	#add8e6
28	TO2_Right	#eeee00
29	T3a_Right	#32cd32
30	T3p_Right	#ff00ff
31	TO3_Right	#b03060
32	FMC_Right	#a020f0
33	PAC_Right	#da70d6
34	SC_Right	#eec900
35	CGa_Right	#ffb6c1
36	CGp_Right	#0000ff
37	SMC_Right	#ee82ee
38	PCN_Right	#27408b
39	CN_Right	#fa8072
40	CALC_Right	#6495ed
41	SCLC_Right	#66cdaa
42	PHa_Right	#ff6347
43	PHp_Right	#ffff00
44	LG_Right	#006400
45	TFa_Right	#cd5c5c
46	TFp_Right	#a52a2a
47	TOF_Right	#9932cc
48	OF_Right	#00ffff
49	BFsbcmp_Right	#dadaff
